部門	國碼	店內碼	品名
A15	4710552061379 		楓康-平底撕取式垃圾袋54張-中53x60cm
A15	4710552061386 		楓康-平底撕取式垃圾袋72張-小43x50cm
A09	4710114361114 		舒潔新柔感迪士尼盒裝面紙140抽5入
A09	4710114322115 		舒潔迪士尼長包紙手帕10抽18入
A16	4710596472407 		綠的乾洗手清檸香60ml
A16	4710596472261 		綠的潔手乳1+1
A07	4715950900053 		PC1/4止滑童襪-15-18
A07	4715950900107 		PC雙羅紋1/4毛巾運動童襪-15-18
A07	4715950900114 		PC斑馬1/2止滑童襪-15-18
A07	4715950900091 		PC1/2止滑童襪-15-18
A07	4715950900015 		PC緹花1/4止滑童襪-15-18
A07	4715950900022 		PC雙色1/2止滑童襪-15-18
A16	4710363062503 		Men's Biore麝香清新沐浴乳300ml
A16	4710363063500 		Men's Biore沐浴乳750ml麝香清新
A15	4710367842002 		3M百利菜瓜布(天然抗菌-爐具專用)
A61	51131594364 		3M防滑條-室外專用
A61	51131594371 		3M安全防滑條-室外-黑色-2吋
A61	51131594425 		3M防滑條-室內外專用
A61	51131594432 		3M安全防滑條-室內外-灰色-2吋
A15	51131655942 		3M掛勾替換膠條 17022(大)
A15	51131651449 		3M掛勾替換膠條(中型)
A15	4710367208648 		3M百利菜瓜布(小綠)
A15	4710367800415 		3M鋼絲球(吊卡)
A01	319810001726 		BAN<盼>滾珠體香劑-無味1.5oz
A01	319810053817 		BAN<盼>滾珠體香劑-爽身粉香1.5oz
A09	4710731042106 		花仙子去味大師消臭晶球-潔淨亞麻350ml
A09	4716349008091 		四格小集合K-809
A09	4711762605155 		鞋面清潔劑150ml
A09	4711762504205 		快擦亮鞋油黑
A12	7610700602393 		利口樂喉糖罐100g-檸檬薄荷風味
A09	4711101030020 		必安住電蚊香片30片
A09	4711101030099 		必安住優液體電蚊香補充45ml-薰衣草
A12	4710692170016 		東門柑梅糖60g
A12	4710692160017 		東門薄菏糖60g
A09	4903111145744 		蘇菲彈力貼身超薄潔翼16片量少17.5cm
A09	4903111172139 		蘇菲超薄護墊加長型無香28片
A09	4903111172078 		蘇菲超薄護墊加長型微香28片
A01	4710032502163 		可伶可俐潔面泡沫慕斯150ml
A12	4902775015646 		模範生點心餅45g-雞汁
A12	4902775015653 		模範生點心餅40g-香辣
A15	4710466102014 		妙潔鋁箔14M
A09	8809004776506 		威滅滅蟻隊6入
A01	49737202 		Kiss Me護手霜30g
A15	4712431004170 		抗菌不倒杯
A09	4710168701751 		DARLIE好來含氟牙膏140g-白綠雙星
A16	4902806584028 		GATSBY強粘造型噴霧45g
A16	4902806583069 		GATSBY強粘造型慕絲185g
A16	4902806584103 		GATSBY強粘造型慕絲65g
A16	4902806584349 		GATSBY造型髮雕霜60g
A12	8008380001732 		佳樂錠乳片(低脂牛奶)100g
A12	4710247005213 		麗滋餅乾條裝100g
A61	51131767522 		3M鋸齒形相框無痕掛勾
A61	51131767515 		3M繩索形相框掛勾
A15	51131767393 		3M無痕掛鉤-超大型掛鉤
A04	2100002663390 		項鏈AH0386
A01	4710530912013 		植物物語清爽明亮洗面乳130g
A01	4710530912020 		植物物語淨膚調理洗面乳130g
A09	4903301010050 		獅王漬脫牙膏150+10g-煙垢
A09	4903301130673 		獅王成人旅行組
A16	4710201520202 		美琪T3抗菌洗手乳700ml玫瑰果萃
A08	4710412907014 		愛爽-5入淑女型三角棉褲
A09	4710186184185 		白鴿天然濃縮洗衣精補充包2000g-防蹣抗菌
A09	4710186184192 		白鴿天然濃縮洗衣精補充包2000g-抗菌柔順
A02	4710032502446 		可伶可俐魔力吸油面紙60pcs
A12	4710018000102 		可口可樂330ml(易)
A12	4710018000409 		雪碧汽水330ml
A12	4710018000508 		芬達橘子355ml(易)
A12	4710421010088 		舒跑運動飲料罐裝245ml
A16	4711762607234 		雀姬髮彩-金棕
A02	4711779031725 		雪婷壓縮敷面棉片10粒入
A09	4903111256914 		日本絲花化妝棉80片(2入)
A09	4710731052501 		花仙子克潮靈集水盒替換400ml*3-玫瑰
A09	4710186184208 		白鴿天然濃縮洗衣精補充包2000g-防霉抗菌
A02	4901872389100 		惹我去光水38910
A09	4710049100499 		康乃馨蘭韻棉質化粧棉100入
